time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.front_left,.front_right,.rear_left,.rear_right
2021/09/10/14:54:38.413537,19894,1631300078,413185358,,0.0,0.0,0.0,15.0
2021/09/10/14:54:38.429547,19895,1631300078,429160833,,0.0,0.0,0.0,15.0
2021/09/10/14:54:38.445582,19896,1631300078,445131778,,33.0,0.0,0.0,15.0
2021/09/10/14:54:38.472065,19897,1631300078,471248388,,33.0,0.0,0.0,15.0
2021/09/10/14:54:38.487901,19898,1631300078,487192630,,33.0,0.0,37.0,15.0
2021/09/10/14:54:38.514106,19899,1631300078,513213157,,33.0,0.0,37.0,15.0
2021/09/10/14:54:38.529728,19900,1631300078,529133796,,33.0,0.0,37.0,37.0
2021/09/10/14:54:38.545735,19901,1631300078,545171976,,33.0,33.0,37.0,37.0
2021/09/10/14:54:38.571889,19902,1631300078,571150541,,33.0,33.0,37.0,37.0
2021/09/10/14:54:38.587672,19903,1631300078,587116241,,33.0,33.0,37.0,37.0
2021/09/10/14:54:38.613551,19904,1631300078,613044738,,33.0,33.0,37.0,37.0
2021/09/10/14:54:38.629381,19905,1631300078,628928661,,33.0,33.0,37.0,37.0
2021/09/10/14:54:38.645565,19906,1631300078,644889831,,33.0,33.0,37.0,37.0
2021/09/10/14:54:38.672857,19907,1631300078,672003746,,33.0,33.0,37.0,37.0
2021/09/10/14:54:38.688711,19908,1631300078,687868118,,33.0,33.0,37.0,37.0
2021/09/10/14:54:38.714898,19909,1631300078,713854551,,47.0,33.0,37.0,37.0
2021/09/10/14:54:38.730424,19910,1631300078,729849576,,47.0,33.0,49.0,37.0
2021/09/10/14:54:38.746300,19911,1631300078,745764255,,47.0,33.0,49.0,37.0
2021/09/10/14:54:38.772488,19912,1631300078,771746158,,47.0,33.0,49.0,51.0
2021/09/10/14:54:38.788587,19913,1631300078,787764787,,47.0,33.0,49.0,51.0
2021/09/10/14:54:38.813895,19914,1631300078,813532352,,47.0,33.0,49.0,51.0
2021/09/10/14:54:38.830233,19915,1631300078,829608678,,47.0,45.0,49.0,51.0
2021/09/10/14:54:38.846150,19916,1631300078,845579385,,47.0,45.0,49.0,51.0
2021/09/10/14:54:38.872165,19917,1631300078,871598005,,47.0,45.0,49.0,51.0
2021/09/10/14:54:38.888207,19918,1631300078,887583971,,47.0,45.0,49.0,51.0
2021/09/10/14:54:38.914097,19919,1631300078,913462638,,57.0,45.0,49.0,51.0
2021/09/10/14:54:38.930196,19920,1631300078,929421663,,57.0,45.0,60.0,51.0
2021/09/10/14:54:38.946583,19921,1631300078,945566415,,57.0,45.0,60.0,63.0
2021/09/10/14:54:38.972173,19922,1631300078,971389770,,57.0,45.0,60.0,63.0
2021/09/10/14:54:38.987781,19923,1631300078,987298965,,57.0,45.0,60.0,63.0
2021/09/10/14:54:39.014297,19924,1631300079,13356208,,57.0,45.0,60.0,63.0
2021/09/10/14:54:39.029837,19925,1631300079,29240369,,57.0,45.0,60.0,63.0
2021/09/10/14:54:39.046125,19926,1631300079,45234441,,57.0,54.0,60.0,63.0
2021/09/10/14:54:39.071709,19927,1631300079,71222782,,57.0,54.0,60.0,63.0
2021/09/10/14:54:39.087651,19928,1631300079,87164878,,69.0,54.0,70.0,63.0
2021/09/10/14:54:39.113866,19929,1631300079,113149642,,69.0,54.0,70.0,63.0
2021/09/10/14:54:39.129875,19930,1631300079,129109859,,69.0,54.0,70.0,70.0
2021/09/10/14:54:39.145566,19931,1631300079,145109653,,69.0,54.0,70.0,70.0
2021/09/10/14:54:39.172831,19932,1631300079,172024726,,69.0,54.0,70.0,70.0
2021/09/10/14:54:39.188452,19933,1631300079,187930583,,69.0,54.0,70.0,70.0
2021/09/10/14:54:39.214380,19934,1631300079,213864564,,69.0,54.0,70.0,70.0
2021/09/10/14:54:39.230446,19935,1631300079,229803562,,69.0,61.0,70.0,70.0
2021/09/10/14:54:39.246469,19936,1631300079,245773553,,75.0,61.0,70.0,70.0
2021/09/10/14:54:39.272080,19937,1631300079,271691322,,75.0,61.0,74.0,79.0
2021/09/10/14:54:39.288447,19938,1631300079,287770032,,75.0,61.0,74.0,79.0
2021/09/10/14:54:39.314763,19939,1631300079,313744306,,75.0,61.0,74.0,79.0
2021/09/10/14:54:39.330230,19940,1631300079,329648494,,75.0,61.0,74.0,79.0
2021/09/10/14:54:39.346161,19941,1631300079,345682382,,75.0,61.0,74.0,79.0
2021/09/10/14:54:39.372595,19942,1631300079,371618270,,75.0,61.0,74.0,79.0
2021/09/10/14:54:39.388331,19943,1631300079,387567520,,80.0,61.0,74.0,79.0
2021/09/10/14:54:39.415019,19944,1631300079,414042472,,80.0,67.0,79.0,79.0
2021/09/10/14:54:39.429848,19945,1631300079,429403781,,80.0,67.0,79.0,78.0
2021/09/10/14:54:39.445819,19946,1631300079,445337295,,80.0,67.0,79.0,78.0
2021/09/10/14:54:39.471658,19947,1631300079,471341371,,80.0,67.0,79.0,78.0
2021/09/10/14:54:39.487565,19948,1631300079,487220048,,80.0,67.0,79.0,78.0
2021/09/10/14:54:39.514012,19949,1631300079,513593196,,80.0,67.0,79.0,78.0
2021/09/10/14:54:39.529630,19950,1631300079,529270887,,85.0,67.0,79.0,78.0
2021/09/10/14:54:39.545580,19951,1631300079,545214414,,85.0,67.0,84.0,78.0
2021/09/10/14:54:39.571522,19952,1631300079,571177959,,85.0,67.0,84.0,84.0
2021/09/10/14:54:39.587490,19953,1631300079,587112188,,85.0,72.0,84.0,84.0
2021/09/10/14:54:39.615230,19954,1631300079,614864587,,85.0,72.0,84.0,84.0
2021/09/10/14:54:39.630357,19955,1631300079,630048274,,85.0,72.0,84.0,84.0
2021/09/10/14:54:39.646481,19956,1631300079,646015167,,85.0,72.0,84.0,84.0
2021/09/10/14:54:39.672406,19957,1631300079,671973705,,85.0,72.0,84.0,84.0
2021/09/10/14:54:39.688390,19958,1631300079,687937736,,85.0,72.0,88.0,84.0
2021/09/10/14:54:39.714674,19959,1631300079,713985204,,85.0,72.0,88.0,89.0
2021/09/10/14:54:39.730567,19960,1631300079,729915380,,85.0,72.0,88.0,89.0
2021/09/10/14:54:39.746498,19961,1631300079,745905637,,85.0,75.0,88.0,89.0
2021/09/10/14:54:39.772104,19962,1631300079,771755218,,85.0,75.0,88.0,89.0
2021/09/10/14:54:39.788068,19963,1631300079,787744998,,85.0,75.0,88.0,89.0
2021/09/10/14:54:39.814217,19964,1631300079,813681602,,90.0,75.0,88.0,89.0
2021/09/10/14:54:39.829980,19965,1631300079,829650640,,90.0,75.0,90.0,92.0
2021/09/10/14:54:39.846299,19966,1631300079,845626115,,90.0,75.0,90.0,92.0
2021/09/10/14:54:39.871953,19967,1631300079,871594429,,90.0,75.0,90.0,92.0
2021/09/10/14:54:39.887931,19968,1631300079,887558221,,90.0,81.0,90.0,92.0
2021/09/10/14:54:39.914110,19969,1631300079,913604021,,90.0,81.0,90.0,92.0
2021/09/10/14:54:39.929835,19970,1631300079,929446697,,92.0,81.0,90.0,92.0
2021/09/10/14:54:39.945945,19971,1631300079,945440530,,92.0,81.0,95.0,92.0
2021/09/10/14:54:39.971747,19972,1631300079,971418142,,92.0,81.0,95.0,92.0
2021/09/10/14:54:39.987753,19973,1631300079,987360954,,92.0,81.0,95.0,92.0
2021/09/10/14:54:40.014086,19974,1631300080,13426303,,92.0,81.0,95.0,92.0
2021/09/10/14:54:40.029878,19975,1631300080,29351472,,92.0,84.0,95.0,92.0
2021/09/10/14:54:40.045868,19976,1631300080,45285940,,92.0,84.0,95.0,92.0
2021/09/10/14:54:40.071618,19977,1631300080,71259498,,95.0,84.0,97.0,92.0
2021/09/10/14:54:40.087723,19978,1631300080,87235927,,95.0,84.0,97.0,98.0
2021/09/10/14:54:40.113418,19979,1631300080,113126039,,95.0,84.0,97.0,98.0
2021/09/10/14:54:40.129454,19980,1631300080,129138231,,95.0,84.0,97.0,98.0
2021/09/10/14:54:40.145673,19981,1631300080,145144939,,95.0,84.0,97.0,98.0
2021/09/10/14:54:40.171465,19982,1631300080,171090602,,95.0,87.0,97.0,98.0
2021/09/10/14:54:40.187407,19983,1631300080,187065601,,96.0,87.0,99.0,98.0
2021/09/10/14:54:40.213212,19984,1631300080,212933301,,96.0,87.0,99.0,99.0
2021/09/10/14:54:40.229452,19985,1631300080,228963851,,96.0,87.0,99.0,99.0
2021/09/10/14:54:40.245462,19986,1631300080,244910717,,96.0,87.0,99.0,99.0
2021/09/10/14:54:40.272477,19987,1631300080,272073984,,96.0,87.0,99.0,99.0
2021/09/10/14:54:40.288044,19988,1631300080,287785053,,96.0,92.0,99.0,99.0
2021/09/10/14:54:40.314240,19989,1631300080,313811779,,99.0,92.0,102.0,99.0
2021/09/10/14:54:40.330095,19990,1631300080,329754590,,99.0,92.0,102.0,106.0
2021/09/10/14:54:40.346315,19991,1631300080,345786809,,99.0,92.0,102.0,106.0
2021/09/10/14:54:40.372014,19992,1631300080,371720314,,99.0,92.0,102.0,106.0
2021/09/10/14:54:40.387950,19993,1631300080,387613058,,99.0,92.0,102.0,106.0
2021/09/10/14:54:40.414139,19994,1631300080,413569450,,99.0,92.0,102.0,106.0
2021/09/10/14:54:40.430188,19995,1631300080,429610967,,102.0,98.0,106.0,105.0
2021/09/10/14:54:40.445973,19996,1631300080,445570230,,102.0,98.0,106.0,105.0
2021/09/10/14:54:40.471731,19997,1631300080,471456050,,102.0,98.0,106.0,105.0
2021/09/10/14:54:40.487562,19998,1631300080,487377882,,102.0,98.0,106.0,105.0
2021/09/10/14:54:40.513878,19999,1631300080,513453006,,102.0,98.0,106.0,105.0
2021/09/10/14:54:40.530056,20000,1631300080,529464006,,105.0,98.0,109.0,105.0
2021/09/10/14:54:40.545659,20001,1631300080,545331239,,105.0,99.0,109.0,110.0
2021/09/10/14:54:40.571632,20002,1631300080,571295022,,105.0,99.0,109.0,110.0
2021/09/10/14:54:40.587702,20003,1631300080,587204694,,105.0,99.0,109.0,110.0
2021/09/10/14:54:40.613852,20004,1631300080,613302230,,105.0,99.0,109.0,110.0
2021/09/10/14:54:40.629405,20005,1631300080,629154920,,105.0,99.0,112.0,110.0
2021/09/10/14:54:40.645425,20006,1631300080,645115613,,104.0,104.0,112.0,115.0
2021/09/10/14:54:40.671403,20007,1631300080,671077728,,104.0,104.0,112.0,115.0
2021/09/10/14:54:40.687402,20008,1631300080,687044143,,104.0,104.0,112.0,115.0
2021/09/10/14:54:40.713673,20009,1631300080,713130474,,104.0,104.0,112.0,115.0
2021/09/10/14:54:40.729341,20010,1631300080,729023456,,104.0,104.0,112.0,115.0
2021/09/10/14:54:40.745431,20011,1631300080,745017766,,104.0,104.0,113.0,116.0
2021/09/10/14:54:40.772207,20012,1631300080,771953821,,109.0,108.0,113.0,116.0
2021/09/10/14:54:40.788299,20013,1631300080,787920236,,109.0,108.0,113.0,116.0
2021/09/10/14:54:40.815027,20014,1631300080,813995599,,109.0,108.0,113.0,116.0
2021/09/10/14:54:40.830241,20015,1631300080,829875946,,109.0,108.0,113.0,116.0
2021/09/10/14:54:40.846524,20016,1631300080,845839023,,109.0,108.0,117.0,120.0
2021/09/10/14:54:40.872073,20017,1631300080,871772766,,110.0,112.0,117.0,120.0
2021/09/10/14:54:40.888054,20018,1631300080,887749671,,110.0,112.0,117.0,120.0
2021/09/10/14:54:40.914324,20019,1631300080,913814783,,110.0,112.0,117.0,120.0
2021/09/10/14:54:40.930101,20020,1631300080,929708480,,110.0,112.0,117.0,120.0
2021/09/10/14:54:40.946007,20021,1631300080,945624828,,110.0,112.0,122.0,121.0
2021/09/10/14:54:40.971961,20022,1631300080,971634626,,113.0,117.0,122.0,121.0
