time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.front_left,.front_right,.rear_left,.rear_right
2021/09/10/14:52:03.912651,18387,1631299923,912193775,,0.0,0.0,0.0,0.0
2021/09/10/14:52:03.928395,18388,1631299923,928093671,,0.0,0.0,0.0,0.0
2021/09/10/14:52:03.954654,18389,1631299923,954096555,,0.0,0.0,0.0,0.0
2021/09/10/14:52:03.970500,18390,1631299923,970082759,,0.0,0.0,0.0,0.0
2021/09/10/14:52:03.986738,18391,1631299923,986134290,,0.0,0.0,0.0,0.0
2021/09/10/14:52:04.012788,18392,1631299924,12165069,,0.0,0.0,0.0,0.0
2021/09/10/14:52:04.028484,18393,1631299924,27985334,,0.0,0.0,0.0,0.0
2021/09/10/14:52:04.054797,18394,1631299924,53962469,,0.0,0.0,0.0,0.0
2021/09/10/14:52:04.070613,18395,1631299924,69922447,,0.0,0.0,0.0,0.0
2021/09/10/14:52:04.086439,18396,1631299924,85902690,,0.0,0.0,0.0,0.0
2021/09/10/14:52:04.112505,18397,1631299924,111880779,,0.0,0.0,0.0,0.0
2021/09/10/14:52:04.128358,18398,1631299924,127889156,,0.0,0.0,0.0,0.0
2021/09/10/14:52:04.154952,18399,1631299924,153924465,,0.0,0.0,0.0,0.0
2021/09/10/14:52:04.170357,18400,1631299924,169836282,,0.0,0.0,0.0,0.0
2021/09/10/14:52:04.186097,18401,1631299924,185735225,,0.0,0.0,17.0,0.0
2021/09/10/14:52:04.212463,18402,1631299924,211793184,,0.0,0.0,17.0,0.0
2021/09/10/14:52:04.228167,18403,1631299924,227715015,,0.0,0.0,17.0,0.0
2021/09/10/14:52:04.254349,18404,1631299924,253691911,,0.0,0.0,17.0,20.0
2021/09/10/14:52:04.270050,18405,1631299924,269546508,,0.0,0.0,17.0,20.0
2021/09/10/14:52:04.286359,18406,1631299924,285666465,,0.0,0.0,17.0,20.0
2021/09/10/14:52:04.313401,18407,1631299924,312643051,,20.0,21.0,17.0,20.0
2021/09/10/14:52:04.329241,18408,1631299924,328547477,,20.0,21.0,17.0,20.0
2021/09/10/14:52:04.355134,18409,1631299924,354493141,,20.0,21.0,17.0,20.0
2021/09/10/14:52:04.370916,18410,1631299924,370405673,,20.0,21.0,17.0,20.0
2021/09/10/14:52:04.387298,18411,1631299924,386405229,,20.0,21.0,17.0,20.0
2021/09/10/14:52:04.412855,18412,1631299924,412347316,,20.0,21.0,17.0,20.0
2021/09/10/14:52:04.428700,18413,1631299924,428254127,,20.0,21.0,17.0,20.0
2021/09/10/14:52:04.454720,18414,1631299924,454265594,,20.0,21.0,17.0,20.0
2021/09/10/14:52:04.471143,18415,1631299924,470307111,,20.0,21.0,17.0,20.0
2021/09/10/14:52:04.486843,18416,1631299924,486253738,,20.0,21.0,17.0,20.0
2021/09/10/14:52:04.512621,18417,1631299924,512190818,,20.0,21.0,17.0,20.0
2021/09/10/14:52:04.528427,18418,1631299924,528059959,,20.0,21.0,17.0,20.0
2021/09/10/14:52:04.554716,18419,1631299924,554148435,,20.0,21.0,17.0,20.0
2021/09/10/14:52:04.570385,18420,1631299924,570047616,,20.0,21.0,17.0,20.0
2021/09/10/14:52:04.586380,18421,1631299924,586037635,,20.0,21.0,31.0,20.0
2021/09/10/14:52:04.612462,18422,1631299924,611985921,,20.0,21.0,31.0,33.0
2021/09/10/14:52:04.628215,18423,1631299924,627905845,,20.0,21.0,31.0,33.0
2021/09/10/14:52:04.654662,18424,1631299924,653904676,,20.0,21.0,31.0,33.0
2021/09/10/14:52:04.670330,18425,1631299924,669896125,,32.0,33.0,31.0,33.0
2021/09/10/14:52:04.686446,18426,1631299924,685888051,,32.0,33.0,31.0,33.0
2021/09/10/14:52:04.712148,18427,1631299924,711785554,,32.0,33.0,31.0,33.0
2021/09/10/14:52:04.728119,18428,1631299924,727741241,,32.0,33.0,31.0,33.0
2021/09/10/14:52:04.754529,18429,1631299924,753722190,,32.0,33.0,31.0,33.0
2021/09/10/14:52:04.770060,18430,1631299924,769640922,,32.0,33.0,31.0,33.0
2021/09/10/14:52:04.785976,18431,1631299924,785621404,,32.0,33.0,31.0,33.0
2021/09/10/14:52:04.812593,18432,1631299924,811719655,,32.0,33.0,31.0,33.0
2021/09/10/14:52:04.827753,18433,1631299924,827512741,,32.0,33.0,31.0,33.0
2021/09/10/14:52:04.854151,18434,1631299924,853562593,,32.0,33.0,31.0,33.0
2021/09/10/14:52:04.869684,18435,1631299924,869436740,,32.0,33.0,40.0,33.0
2021/09/10/14:52:04.885978,18436,1631299924,885479211,,32.0,33.0,40.0,43.0
2021/09/10/14:52:04.912981,18437,1631299924,912474393,,32.0,33.0,40.0,43.0
2021/09/10/14:52:04.928565,18438,1631299924,928324460,,32.0,45.0,40.0,43.0
2021/09/10/14:52:04.955343,18439,1631299924,954561710,,32.0,45.0,40.0,43.0
2021/09/10/14:52:04.970903,18440,1631299924,970324277,,40.0,45.0,40.0,43.0
2021/09/10/14:52:04.986370,18441,1631299924,986159324,,40.0,45.0,40.0,43.0
2021/09/10/14:52:05.012533,18442,1631299925,12211084,,40.0,45.0,40.0,43.0
2021/09/10/14:52:05.028622,18443,1631299925,28226137,,40.0,45.0,40.0,43.0
2021/09/10/14:52:05.055202,18444,1631299925,54244518,,40.0,45.0,40.0,43.0
2021/09/10/14:52:05.070443,18445,1631299925,70096492,,40.0,45.0,40.0,43.0
2021/09/10/14:52:05.086402,18446,1631299925,86036443,,40.0,45.0,40.0,43.0
2021/09/10/14:52:05.112384,18447,1631299925,112033367,,40.0,45.0,49.0,43.0
2021/09/10/14:52:05.128280,18448,1631299925,128001451,,40.0,45.0,49.0,50.0
2021/09/10/14:52:05.154680,18449,1631299925,153980493,,40.0,45.0,49.0,50.0
2021/09/10/14:52:05.170545,18450,1631299925,169994115,,40.0,52.0,49.0,50.0
2021/09/10/14:52:05.186306,18451,1631299925,185920953,,40.0,52.0,49.0,50.0
2021/09/10/14:52:05.213008,18452,1631299925,212136507,,40.0,52.0,49.0,50.0
2021/09/10/14:52:05.228138,18453,1631299925,227830648,,47.0,52.0,49.0,50.0
2021/09/10/14:52:05.254417,18454,1631299925,253914594,,47.0,52.0,49.0,50.0
2021/09/10/14:52:05.270105,18455,1631299925,269718647,,47.0,52.0,49.0,50.0
2021/09/10/14:52:05.286005,18456,1631299925,285619735,,47.0,52.0,49.0,50.0
2021/09/10/14:52:05.312224,18457,1631299925,311672449,,47.0,52.0,59.0,50.0
2021/09/10/14:52:05.328066,18458,1631299925,327582120,,47.0,52.0,59.0,58.0
2021/09/10/14:52:05.354300,18459,1631299925,353663444,,47.0,52.0,59.0,58.0
2021/09/10/14:52:05.370345,18460,1631299925,369728565,,47.0,59.0,59.0,58.0
2021/09/10/14:52:05.385753,18461,1631299925,385475873,,47.0,59.0,59.0,58.0
2021/09/10/14:52:05.412996,18462,1631299925,412575960,,47.0,59.0,59.0,58.0
2021/09/10/14:52:05.428715,18463,1631299925,428423643,,47.0,59.0,59.0,58.0
2021/09/10/14:52:05.455201,18464,1631299925,454514026,,53.0,59.0,59.0,58.0
2021/09/10/14:52:05.470667,18465,1631299925,470354318,,53.0,59.0,59.0,58.0
2021/09/10/14:52:05.486884,18466,1631299925,486331701,,53.0,59.0,59.0,58.0
2021/09/10/14:52:05.513117,18467,1631299925,512369632,,53.0,59.0,60.0,58.0
2021/09/10/14:52:05.528628,18468,1631299925,528252363,,53.0,59.0,60.0,62.0
2021/09/10/14:52:05.554942,18469,1631299925,554290294,,53.0,65.0,60.0,62.0
2021/09/10/14:52:05.570494,18470,1631299925,570181608,,53.0,65.0,60.0,62.0
2021/09/10/14:52:05.586448,18471,1631299925,586124420,,53.0,65.0,60.0,62.0
2021/09/10/14:52:05.613087,18472,1631299925,612241029,,53.0,65.0,60.0,62.0
2021/09/10/14:52:05.628382,18473,1631299925,628024578,,53.0,65.0,60.0,62.0
2021/09/10/14:52:05.654847,18474,1631299925,654050111,,58.0,65.0,60.0,62.0
2021/09/10/14:52:05.670355,18475,1631299925,670001745,,58.0,65.0,60.0,62.0
2021/09/10/14:52:05.686175,18476,1631299925,685909271,,58.0,65.0,66.0,62.0
2021/09/10/14:52:05.712727,18477,1631299925,712006092,,58.0,65.0,66.0,66.0
2021/09/10/14:52:05.728216,18478,1631299925,727892637,,58.0,69.0,66.0,66.0
2021/09/10/14:52:05.754291,18479,1631299925,753914356,,58.0,69.0,66.0,66.0
2021/09/10/14:52:05.770088,18480,1631299925,769802808,,58.0,69.0,66.0,66.0
2021/09/10/14:52:05.786222,18481,1631299925,785786390,,58.0,69.0,66.0,66.0
2021/09/10/14:52:05.812477,18482,1631299925,811905145,,58.0,69.0,66.0,66.0
2021/09/10/14:52:05.828029,18483,1631299925,827707290,,58.0,69.0,66.0,66.0
2021/09/10/14:52:05.854365,18484,1631299925,853843450,,61.0,69.0,66.0,66.0
