time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.front_left,.front_right,.rear_left,.rear_right
2021/09/10/15:02:41.511878,26523,1631300561,511548995,,38.0,34.0,35.0,35.0
2021/09/10/15:02:41.527945,26524,1631300561,527521371,,39.0,34.0,35.0,35.0
2021/09/10/15:02:41.543967,26525,1631300561,543495893,,39.0,34.0,35.0,35.0
2021/09/10/15:02:41.570288,26526,1631300561,569545984,,39.0,34.0,35.0,35.0
2021/09/10/15:02:41.586578,26527,1631300561,585573911,,39.0,34.0,35.0,35.0
2021/09/10/15:02:41.612009,26528,1631300561,611414432,,39.0,34.0,35.0,33.0
2021/09/10/15:02:41.627821,26529,1631300561,627377271,,39.0,34.0,35.0,33.0
2021/09/10/15:02:41.644221,26530,1631300561,643438100,,39.0,34.0,35.0,33.0
2021/09/10/15:02:41.670031,26531,1631300561,669373512,,39.0,34.0,35.0,33.0
2021/09/10/15:02:41.686227,26532,1631300561,685300111,,39.0,34.0,35.0,33.0
2021/09/10/15:02:41.711957,26533,1631300561,711296796,,39.0,34.0,35.0,33.0
2021/09/10/15:02:41.728242,26534,1631300561,727229833,,39.0,34.0,35.0,33.0
2021/09/10/15:02:41.743819,26535,1631300561,743177652,,39.0,34.0,35.0,33.0
2021/09/10/15:02:41.770680,26536,1631300561,770241737,,39.0,34.0,35.0,33.0
2021/09/10/15:02:41.787211,26537,1631300561,786145687,,39.0,34.0,35.0,33.0
2021/09/10/15:02:41.812744,26538,1631300561,812098979,,39.0,34.0,35.0,33.0
2021/09/10/15:02:41.829004,26539,1631300561,828133106,,37.0,34.0,35.0,33.0
2021/09/10/15:02:41.844659,26540,1631300561,843988895,,36.0,34.0,35.0,33.0
2021/09/10/15:02:41.870654,26541,1631300561,869982957,,36.0,34.0,35.0,33.0
2021/09/10/15:02:41.886680,26542,1631300561,885927438,,36.0,34.0,35.0,33.0
2021/09/10/15:02:41.912718,26543,1631300561,911908864,,36.0,34.0,35.0,33.0
2021/09/10/15:02:41.928742,26544,1631300561,927916049,,36.0,34.0,35.0,33.0
2021/09/10/15:02:42.015886,26545,1631300562,15173435,,36.0,34.0,35.0,33.0
2021/09/10/15:02:42.019583,26546,1631300562,18689393,,36.0,34.0,35.0,34.0
2021/09/10/15:02:42.020556,26547,1631300562,19960880,,36.0,34.0,35.0,34.0
2021/09/10/15:02:42.043095,26548,1631300562,42572736,,36.0,34.0,35.0,34.0
2021/09/10/15:02:42.044066,26549,1631300562,43540716,,36.0,34.0,35.0,34.0
2021/09/10/15:02:42.070180,26550,1631300562,69611072,,36.0,34.0,35.0,34.0
2021/09/10/15:02:42.086475,26551,1631300562,85608959,,36.0,34.0,35.0,34.0
2021/09/10/15:02:42.112238,26552,1631300562,111496686,,36.0,34.0,35.0,34.0
2021/09/10/15:02:42.143285,26553,1631300562,142483711,,36.0,34.0,35.0,34.0
2021/09/10/15:02:42.144048,26554,1631300562,143506765,,36.0,34.0,35.0,34.0
2021/09/10/15:02:42.169968,26555,1631300562,169398307,,36.0,34.0,35.0,34.0
2021/09/10/15:02:42.186076,26556,1631300562,185303926,,35.0,34.0,35.0,34.0
2021/09/10/15:02:42.211850,26557,1631300562,211271762,,35.0,34.0,35.0,34.0
2021/09/10/15:02:42.227915,26558,1631300562,227226495,,35.0,34.0,34.0,34.0
2021/09/10/15:02:42.243732,26559,1631300562,243158817,,35.0,34.0,34.0,34.0
2021/09/10/15:02:42.270706,26560,1631300562,270182609,,35.0,34.0,34.0,34.0
2021/09/10/15:02:42.286792,26561,1631300562,286163091,,35.0,34.0,34.0,34.0
2021/09/10/15:02:42.312742,26562,1631300562,312076807,,35.0,34.0,34.0,34.0
2021/09/10/15:02:42.328786,26563,1631300562,328094005,,35.0,34.0,34.0,34.0
